Country,Currency,Brexit,Day,Month,Month3,Month6
PAN,Panamanian Balboa,0.6757698698,0.7312427104,0.7627474162,0.7717185367,0.8092940141
CRI,Costa Rican Colón,0.0012397719,0.0013538272,0.0014087907,0.0014014047,0.0014703092
NIC,Nicaraguan Córdoba,0.0236386562,0.0256801654,0.0266694901,0.0266659774,0.0276382161
HND,Honduran Lempira,0.0296985372,0.0324513815,0.0336308380,0.0335736039,0.0344833867
GTM,Guatemalan Quetzal,0.0884921353,0.0963932550,0.0966420556,0.1026300647,0.1083174809
SLV,US Dollar,0.682740,0.728900,0.762775,0.763700,0.809700
BLZ,Belize Dollar,0.3387549653,0.3611985820,0.3766713017,0.3869637213,0.4026438021
PRI,US Dollar,0.682740,0.728900,0.762775,0.763700,0.809700
DOM,Dominican Peso,0.0147084664,0.0160137254,0.0165922866,0.0167267342,0.0174588674
HTI,Haitian Gourde,0.0107785571,0.0117161023,0.0121090236,0.0118110166,0.0120212534
JAM,Jamaican Dollar,0.0053804530,0.0058640693,0.0060425208,0.0060482423,0.0062834154
CUB,Cuban Peso,0.6757698698,0.7312427104,0.7627474162,0.7717185367,0.8092940141
BHS,Bahamian Dollar,0.6757698698,0.7312427104,0.7627474162,0.7717185367,0.8092940141
MNG,Mongolian Tögrög,0.0003484285,0.0003788822,0.0003748145,0.0003422021,0.0003256761
KAZ,Kazakhstani Tenge,0.0020101009,0.0021538813,0.0022234294,0.0022831372,0.0024136789
CHN,Chinese Yuan Renminbi,0.103799,0.110076,0.114315,0.114561,0.116490
PRK,North Korean Won,0.0052696879,0.0055925992,0.0058218296,0.0059943136,0.0061022010
KOR,South Korean Won,0.000594,0.000622,0.000670,0.000692,0.000679
JPN,Japanese Yen,0.006537,0.007133,0.007188,0.007577,0.006865
TUR,Turkish Lira,0.235998,0.249367,0.248501,0.259389,0.229610
GEO,Georgian Lari,0.3030893873,0.3145129937,0.3253001029,0.3327100846,0.2880195820
ARM,Armenian Dram,0.0014185564,0.0015351929,0.0016021815,0.0016282412,0.0016766711
AZE,Azerbaijani Manat,0.4381291780,0.4738807124,0.4806978605,0.4705092367,0.4539905210
UZB,Uzbekistani Som,0.0002299553,0.0002473339,0.0002559555,0.0002567880,0.0002515205
KGZ,Kyrgyzstani Som,0.0100135579,0.0108514883,0.0113691164,0.0112282655,0.0116743166
TJK,Tajikistani Somoni,0.0858829373,0.0929329268,0.0969368064,0.0980333504,0.1027427076
TKM,Turkmenistan Manat,0.1930771057,0.2089264887,0.2179278332,0.2204910105,0.2312268612
AFG,Afghan Afghani,0.0098092670,0.0106711815,0.0111309364,0.0115870500,0.0121327740
IND,Indian Rupee,0.010115,0.010745,0.011354,0.011464,0.011906
PAK,Pakistani Rupee,0.006520,0.006955,0.007278,0.007287,0.007722
IRN,Iranian Rial,0.0000220909,0.0000238968,0.0000246425,0.0000245709,0.0000250639
